gpu_type	time_period	health_status
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
V100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
V100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
V100M32	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
V100	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Normal
V100	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
V100	August (Eval)	Normal
V100M32	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
V100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
V100M32	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
V100M32	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Anomalous
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
V100	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
V100	August (Eval)	Normal
V100	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
V100M32	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Normal
V100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
V100	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
V100	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
V100	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Normal
V100	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
V100M32	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
V100M32	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
V100M32	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Anomalous
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
V100	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Normal
V100	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Anomalous
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
V100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
V100M32	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
V100	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
V100	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
V100	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Anomalous
T4	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
V100M32	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
V100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
V100	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
V100	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Normal
V100M32	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
V100M32	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
V100	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
V100M32	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
V100	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Anomalous
MISC	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
V100	August (Eval)	Normal
V100M32	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
P100	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
MISC	August (Eval)	Normal
P100	August (Eval)	Normal
MISC	August (Eval)	Normal
T4	August (Eval)	Normal
T4	August (Eval)	Normal
